time (us),flowVelocityX[cm/s],secFlowVelocityX[cm/s]
39491970,0,0
39492980,0,0
39494010,0,0
39494986,0,0
39496008,0,0
39496998,0,0
39498012,0,0
39499008,0,0
39500007,0,0
39501040,0,0
39502026,0,0
39503012,0,0
39504013,0,0
39505012,0,0
39506015,0,0
39507022,0,0
39508035,0,0
39509046,0,0
39510032,0,0
39511033,0,0
39512039,0,0
39513045,0,0
39514078,0,0
39515098,0,0
39516068,0,0
39517073,0,0
39518081,0,0
39519078,0,0
39520076,0,0
39521114,0,0
39522098,0,0
39523084,0,0
39524085,0,0
39525088,0,0
39526089,0,0
39527091,0,0
39528114,0,0
39529129,0,0
39530112,0,0
39531113,0,0
39532114,0,0
39533117,0,0
39534150,0,0
39535143,0,0
39536127,0,0
39537131,0,0
39538146,0,0
39539153,0,0
39540153,0,0
39541196,0,0
39542179,0,0
39543168,0,0
39544173,0,0
39545173,0,0
39546174,0,0
39547183,0,0
39548195,0,0
39549214,0,0
39550194,0,0
39551205,0,0
39552213,0,0
39553211,0,0
39554251,0,0
39555235,0,0
39556225,0,0
39557226,0,0
39558238,0,0
39559245,0,0
39560239,0,0
39561264,0,0
39562266,0,0
39563250,0,0
39564256,0,0
39565256,0,0
39566262,0,0
39567276,0,0
39568276,0,0
39569301,0,0
39570283,0,0
39571290,0,0
39572293,0,0
39573300,0,0
39574336,0,0
39575324,0,0
39576315,0,0
39577322,0,0
39578328,0,0
39579342,0,0
39580345,0,0
39581366,0,0
39582372,0,0
39583364,0,0
39584374,0,0
39585376,0,0
39586392,0,0
39587427,0,0
39588408,0,0
39589430,0,0
39590413,0,0
39591417,0,0
39592421,0,0
39593427,0,0
39594461,0,0
39595440,0,0
39596428,0,0
39597441,0,0
39598439,0,0
39599441,0,0
39600443,0,0
39601456,0,0
39602468,0,0
39603453,0,0
39604453,0,0
39605465,0,0
39606467,0,0
39607511,0,0
39608494,0,0
39609492,0,0
39610491,0,0
39611496,0,0
39612517,0,0
39613514,0,0
39614553,0,0
39615531,0,0
39616530,0,0
39617534,0,0
39618537,0,0
39619549,0,0
39620551,0,0
39621564,0,0
39622570,0,0
39623567,0,0
39624567,0,0
39625569,0,0
